# PCC (PARTIDO CACHAÇEIRO COMUNISTA)
Vladimir Lenin, 8012, PCC (PARTIDO CACHAÇEIRO COMUNISTA), MG, F
Che Guevara, 80123, PCC (PARTIDO CACHAÇEIRO COMUNISTA), MG, E
Mao Tsé-Tung, 801, PCC (PARTIDO CACHAÇEIRO COMUNISTA), MG, S
Josef Stalin, 81, PCC (PARTIDO CACHAÇEIRO COMUNISTA), MG, G
Karl Marx, 80, PCC (PARTIDO CACHAÇEIRO COMUNISTA), MG, P

# PNA (PATRIOTA NORTE-AMERICANO)
Carla Zambélia, 2212, PNA (PATRIOTA NORTE-AMERICANO), SP, F
NiKole Ferreira, 22123, PNA (PATRIOTA NORTE-AMERICANO), MG, E
Olávio de Carvalho, 221, PNA (PATRIOTA NORTE-AMERICANO), SP, S
Véio da Havan, 25, PNA (PATRIOTA NORTE-AMERICANO), SC, G
Bolsonaro da Papuda, 22, PNA (PATRIOTA NORTE-AMERICANO), RJ, P

# PCH (PARTIDO DOS CONSERVADORES HISTORICOS)
Major Tibiriçá Brasiliense, 1312, PCH (PARTIDO DOS CONSERVADORES HISTORICOS), SC, F
Pinocheto Chileno, 11234, PCH (PARTIDO DOS CONSERVADORES HISTORICOS), SC, E
Hirohito Japones, 112, PCH (PARTIDO DOS CONSERVADORES HISTORICOS), SC, S
Mussolínio Italiano, 15, PCH (PARTIDO DOS CONSERVADORES HISTORICOS), SC, G
Adolfo Austriaco, 11, PCH (PARTIDO DOS CONSERVADORES HISTORICOS), SC, P

# PIN (PARTIDO DOS INDECISOS NEOLIBERAIS)
Lula Molusco da Silva, 13, PIN (PARTIDO DOS INDECISOS NEOLIBERAIS), PE, P
Kim Zé Bunequero Kataguiri, 2211, PIN (PARTIDO DOS INDECISOS NEOLIBERAIS), SP, F
Michel Nosferatu Temer, 23, PIN (PARTIDO DOS INDECISOS NEOLIBERAIS), SP, G
Companhera Dilma, 234, PIN (PARTIDO DOS INDECISOS NEOLIBERAIS), MG, S
Paulo Greenfield Guedes, 23456, PIN (PARTIDO DOS INDECISOS NEOLIBERAIS), RJ, E

# PB (PARTIDO BADERNISTAS)
Ted Kaczynski, 99, PB (PARTIDO BADERNISTAS), MG, P
Jules Bonnot, 9999, PB (PARTIDO BADERNISTAS), MG, F
Émile Henry, 98, PB (PARTIDO BADERNISTAS), MG, G
Luigi Nick Mangione, 999, PB (PARTIDO BADERNISTAS), MG, S
Errico Malatesta, 99999, PB (PARTIDO BADERNISTAS), MG, E
